19118592180;Herbert Burke;3;0;0;0
40560830459;Thomas Vega;4;1;1;0
89545248009;Andre Riley;3;0;1;1
71301185809;Irene Patterson;4;1;1;1
79124365530;Jacob Bailey;3;1;0;0
71184488002;Samuel Stanley;5;0;1;1
67792653145;Clifford Obrien;0;0;0;1
91474012060;Rosie Parker;3;0;0;0
81212576543;Isaiah Stevens;3;0;0;0
74046846410;Lou Saunders;3;1;0;0
29121776180;Gary Newton;2;0;1;1
42020869292;Annie Baldwin;0;0;0;1
31592601782;Kenneth Moore;4;1;0;1
63861460505;Edna Ryan;2;1;1;0
42195510005;Lina Todd;3;0;1;0
85843363465;Rachel Palmer;4;1;1;0
66929969702;Dominic Patterson;1;0;0;0
55595509066;Marguerite Mathis;2;0;1;1
61910899704;Shawn Watson;0;0;1;0
22230384929;Jerry Ortega;4;0;0;0
30302589473;Calvin Torres;0;0;0;0
22688202464;Noah Howell;1;1;0;1
96720645510;Jerome Townsend;4;0;0;0
48515885859;Gary Harrison;0;0;0;1
34935162406;Gene Sharp;1;0;0;1
97033512554;Lucinda Lawrence;1;1;1;1
74478546460;Isaiah Watson;4;1;0;1
16030264281;Amy Oliver;1;1;0;0
87848552586;Lewis Williamson;5;0;0;1
15974271440;Annie Norman;3;1;0;0
31202823831;Lucinda Berry;2;0;0;1
25135546391;Maurice Kelley;0;0;0;1
71147239460;Joseph Campbell;0;0;1;1
50058207600;Lora Walters;4;1;0;0
99072598105;Ricky Sparks;5;1;1;0
66458782659;Mildred Crawford;1;0;0;0
16741174184;Micheal Lloyd;4;0;1;1
53571313330;Christian Francis;3;1;0;1
91185702598;Alfred Lindsey;1;1;1;0
63937219447;Maude Wells;3;0;1;0
37784444419;Carrie Barber;3;0;0;1
73907274547;Randall Snyder;3;1;1;0
96652337932;Troy Marshall;0;1;1;0
45488117024;Willie Hubbard;2;0;0;1
52792233362;Robert Hughes;1;1;0;1
31587349159;Millie Fowler;4;0;0;0
92246189799;Glen Thompson;3;0;0;0
78679230634;Austin Massey;2;0;1;1
67083493880;Carlos Rhodes;4;1;1;0
69302089819;Jane Harper;5;1;1;0
48984033952;Blanche Gordon;0;1;1;0
61637971834;Jimmy Banks;3;1;0;0
80765283131;Jeffrey Rose;3;0;1;1
15487816905;Sam McLaughlin;4;0;1;1
50739247972;Phillip Gonzalez;2;0;1;0
96430389634;Rosalie Clarke;1;0;1;1
43840184797;Christian Waters;1;0;1;0
51029362122;Chase Simon;3;0;1;0
46366023310;Ora Guzman;5;0;1;0
82090852984;Hallie Wright;3;1;1;0
96705941545;Jimmy James;4;1;0;0
61762388898;Warren Morgan;4;1;1;0
13625459450;Essie Mitchell;0;1;1;0
75238305010;Eric Abbott;3;1;1;0
52844022510;Ollie Gordon;0;0;1;1
13986229825;Lizzie Fox;5;1;1;1
70873629680;Martin Russell;3;0;0;1
81534393919;Francisco Pena;5;1;1;1
64788862204;Louise Kim;3;0;1;1
75736727218;Leah Boyd;3;0;0;0
79102189313;Christopher Collier;0;1;0;0
23358656411;Carrie Adkins;1;1;0;1
64409806459;Christina Reeves;2;1;1;0
97973680179;Cordelia Barrett;5;1;1;1
84445940321;Lottie Ford;1;0;1;1
56395314874;Jacob Myers;1;1;0;1
26035864325;Alta Meyer;5;0;0;1
61232528528;Landon Haynes;0;0;1;0
95723652311;Ricardo Vasquez;1;0;0;1
13347813383;Ian McGee;0;1;1;1
14787322702;Shane Allen;3;0;0;1
95799315774;Willie Padilla;1;1;1;1
48946770244;Hester Long;0;1;0;1
28546462666;Terry Thomas;0;0;0;1
66990237309;Augusta Perkins;5;1;1;1
69564851920;Gilbert Manning;0;1;1;1
44370263140;Frederick Mathis;1;1;1;1
65659422500;Eunice Lowe;3;1;0;0
99318959699;Helen Thompson;1;0;0;1
12642208478;Lena Simon;0;0;0;1
32618597923;Isabelle Williams;2;0;1;0
65711811851;Clyde Gonzalez;5;1;0;0
17205289939;Landon Pierce;3;0;1;1
19094849623;William Norris;4;1;0;0
67231277810;Sean Lopez;2;0;0;0
76022055458;Olivia Summers;0;0;1;1
70281815020;Randall Torres;2;0;0;0
31414032870;Gary Kennedy;0;0;0;1
92644094321;Daisy Riley;4;0;1;1
48806003500;Rosie Edwards;3;0;0;0
60713719370;Eva Rios;2;1;0;0
20711795797;Lelia Cook;2;0;1;1
23890368301;Brett Castro;2;1;1;1
91346766517;Ian Morton;0;1;1;1
90199900477;Tom Schneider;1;0;0;1
35625377510;Mina Gordon;0;1;0;0
97228165276;Jeremy Russell;3;0;1;0
